Song,"Playlist name",Owner,Subscribers,Position,"Added on",Country
"Rocksito Pa´olvidarte","parrancho ✧","Juan  Parra",8,551,2026-04-22T04:40:01+00:00,Global
Legwork,"Más viral en Tik Tok 2026","Raylist Latino",8,50,2026-04-17T00:54:35+00:00,Global
"Rocksito Pa´olvidarte"," Rap de Oriente - Dojo De Barrio ♫ EMBR","Embriagado De Rap Studios",16,46,2025-08-28T05:10:02+00:00,Global
"Tr3S Am - Remix","Made in Villavo",X-kid,60,84,2025-08-07T05:10:01+00:00,Global
Teresa,"Made in Villavo",X-kid,60,85,2025-08-07T05:10:01+00:00,Global
"Noches En Vela",LLANOURBAN🇨🇴🔥,Chill,8,11,2025-06-24T23:48:18+00:00,Global
"La Pregunta",LLANOURBAN🇨🇴🔥,Chill,8,21,2025-06-24T23:48:18+00:00,Global
Chromeheart,LLANOURBAN🇨🇴🔥,Chill,8,22,2025-06-24T23:48:18+00:00,Global
"Vibez On",LLANOURBAN🇨🇴🔥,Chill,8,33,2025-06-24T23:48:18+00:00,Global
Convénceme,LLANOURBAN🇨🇴🔥,Chill,8,34,2025-06-24T23:48:18+00:00,Global
"Jotrap R #2",LLANOURBAN🇨🇴🔥,Chill,8,44,2025-06-24T23:48:18+00:00,Global
Flori,LLANOURBAN🇨🇴🔥,Chill,8,46,2025-06-24T23:48:18+00:00,Global
"Tus Ojos No Mienten",LLANOURBAN🇨🇴🔥,Chill,8,52,2025-06-24T23:48:18+00:00,Global
"Tr3S Am",LLANOURBAN🇨🇴🔥,Chill,8,57,2025-06-24T23:48:18+00:00,Global
"Jotrap R #1",LLANOURBAN🇨🇴🔥,Chill,8,58,2025-06-24T23:48:18+00:00,Global
"La Playlist",LLANOURBAN🇨🇴🔥,Chill,8,71,2025-06-24T23:48:18+00:00,Global
"Rocksito Pa´olvidarte",LLANOURBAN🇨🇴🔥,Chill,8,78,2025-06-24T23:48:18+00:00,Global
"Tus Ojos No Mienten","Made in Villavo",X-kid,60,1,2025-06-19T05:10:02+00:00,Global
"Tr3S Am","Parchau’ 😎","Trinidad Mike",31,716,2025-04-30T21:42:42+00:00,Global
"Amor y Odio","Made in Villavo",X-kid,60,2,2025-03-11T00:55:41+00:00,Global
Bacardi,"Made in Villavo",X-kid,60,6,2025-03-11T00:55:41+00:00,Global
"Ya Te Superé","Made in Villavo",X-kid,60,12,2025-03-11T00:55:41+00:00,Global
Cachai,"Made in Villavo",X-kid,60,13,2025-03-11T00:55:41+00:00,Global
"Rocksito Pa´olvidarte","Made in Villavo",X-kid,60,33,2025-03-11T00:55:41+00:00,Global
Bacardi," Rap de Oriente - Dojo De Barrio ♫ EMBR","Embriagado De Rap Studios",16,52,2025-02-20T05:10:02+00:00,Global
Cachai,"Perreo sucio para Fanáticos del Hentai ","Alexis Orfaly",253,806,2024-12-14T22:38:53+00:00,Global
"Rocksito Pa´olvidarte","Hip Hop Colombia ♫ EMBR ♪ Clásicos Del Rap","Embriagado De Rap Studios",104,93,2024-11-19T05:10:02+00:00,Global
Bacardi,"Hip Hop Colombia ♫ EMBR ♪ Clásicos Del Rap","Embriagado De Rap Studios",104,67,2024-11-15T05:10:02+00:00,Global
Pov,"Fan Discoveries / Colombia","glenn mcdonald",3,544,2024-10-12T05:10:01+00:00,Global
"Rocksito Pa´olvidarte","House Concert: Global","The Sounds of Spotify Cities",178,1976,2023-08-21T00:00:00+00:00,Global
